daily_pnl,date,cum_daily_pnl
250.8680043,18-10-2021 05:30,5394.333004
224.1687672,19-10-2021 05:30,5367.633767
182.1794582,20-10-2021 05:30,5325.644458
171.3502068,21-10-2021 05:30,5314.815207
121.2823177,22-10-2021 05:30,5264.747318
84.58649529,25-10-2021 05:30,5228.051495
133.7786531,26-10-2021 05:30,5277.243653
157.5542327,27-10-2021 05:30,5301.019233
99.69463843,28-10-2021 05:30,5243.159638
78.31975088,29-10-2021 05:30,5221.784751
142.7225826,01-11-2021 05:30,5286.187583
165.4853751,02-11-2021 05:30,5308.950375
162.3457343,03-11-2021 05:30,5305.810734
209.7524335,04-11-2021 05:30,5353.217433
243.6955356,08-11-2021 05:30,5387.160536
258.5822801,09-11-2021 05:30,5402.04728
244.4876828,10-11-2021 05:30,5387.952683
227.1367444,11-11-2021 05:30,5370.601744
238.2455035,12-11-2021 05:30,5381.710503
213.1759924,15-11-2021 05:30,5356.640992
203.2639565,16-11-2021 05:30,5346.728957
190.8829238,17-11-2021 05:30,5334.347924
135.5509699,18-11-2021 05:30,5279.01597
79.07319483,22-11-2021 05:30,5222.538195
131.1611153,23-11-2021 05:30,5274.626115
155.3475381,24-11-2021 05:30,5298.812538
166.3698244,25-11-2021 05:30,5309.834824
100.6072115,26-11-2021 05:30,5244.072212
46.58126546,29-11-2021 05:30,5190.046265
68.32696458,30-11-2021 05:30,5211.791965
76.13795524,01-12-2021 05:30,5219.602955
106.3027918,02-12-2021 05:30,5249.767792
126.9456413,03-12-2021 05:30,5270.410641
137.7937225,06-12-2021 05:30,5281.258722
165.1164992,07-12-2021 05:30,5308.581499
210.6299162,08-12-2021 05:30,5354.094916
233.9823962,09-12-2021 05:30,5377.447396
236.8583848,10-12-2021 05:30,5380.323385
231.2497391,13-12-2021 05:30,5374.714739
219.0970397,14-12-2021 05:30,5362.56204
206.9814493,15-12-2021 05:30,5350.446449
182.6697203,16-12-2021 05:30,5326.13472
143.0250411,17-12-2021 05:30,5286.490041
50.34959353,20-12-2021 05:30,5193.814594
