daily_pnl,date,cum_daily_pnl,result
144.5527498,03-08-2018 05:30,4073.65375,89.47566012
141.6215588,06-08-2018 05:30,4070.722559,90.79964961
125.2099189,07-08-2018 05:30,4054.310919,89.96454344
140.6352979,08-08-2018 05:30,4069.736298,91.39448546
146.8986963,09-08-2018 05:30,4075.999696,92.74600592
125.7488151,10-08-2018 05:30,4054.849815,93.06553206
121.3978476,13-08-2018 05:30,4050.498848,93.26325449
131.7651969,14-08-2018 05:30,4060.866197,92.83527302
139.6238114,16-08-2018 05:30,4068.724811,95.0853043
159.2498274,17-08-2018 05:30,4088.350827,95.86201143
153.1634439,20-08-2018 05:30,4082.264444,95.08447003
166.5502755,21-08-2018 05:30,4095.651275,94.83251992
154.5703821,23-08-2018 05:30,4083.671382,94.89425604
151.7207896,24-08-2018 05:30,4080.82179,93.25658032
182.8706077,27-08-2018 05:30,4111.971608,92.22124891
185.6505099,28-08-2018 05:30,4114.75151,91.49793518
174.927503,29-08-2018 05:30,4104.028503,92.49822717
186.1675348,30-08-2018 05:30,4115.268535,93.36920702
218.2059836,31-08-2018 05:30,4147.306984,90.84970592
195.2543334,03-09-2018 05:30,4124.355333,88.33687899
153.0769709,04-09-2018 05:30,4082.177971,89.71175906
136.5583194,05-09-2018 05:30,4065.659319,92.13615317
158.1476099,06-09-2018 05:30,4087.24861,89.84273975
164.4278732,07-09-2018 05:30,4093.528873,88.19338422
134.822998,10-09-2018 05:30,4063.923998,87.45004797
98.81263009,11-09-2018 05:30,4027.91363,85.92750177
91.29415541,12-09-2018 05:30,4020.395155,82.99587035
140.5337265,14-09-2018 05:30,4069.634727,84.6652484
155.4436341,17-09-2018 05:30,4084.544634,84.43749218
136.346161,18-09-2018 05:30,4065.447161,83.16522755
102.9212199,19-09-2018 05:30,4032.02222,82.37934343
47.5886234,21-09-2018 05:30,3976.689623,83.67830476
-14.03116691,24-09-2018 05:30,3915.069833,81.17465482
-36.82031005,25-09-2018 05:30,3892.28069,76.85312643
-22.81893091,26-09-2018 05:30,3906.282069,72.13448463
-54.13703627,27-09-2018 05:30,3874.963964,72.66174446
-112.1802757,28-09-2018 05:30,3816.920724,71.87752889
-132.4120131,01-10-2018 05:30,3796.688987,74.53134777
-136.3199112,03-10-2018 05:30,3792.781089,70.76961582
-189.0621962,04-10-2018 05:30,3740.038804,74.73824719
-233.4049689,05-10-2018 05:30,3695.696031,75.40566471
-256.9427006,08-10-2018 05:30,3672.158299,76.61118759
-270.2601324,09-10-2018 05:30,3658.840868,74.41371543
-187.4612304,10-10-2018 05:30,3741.63977,71.91924248
-203.5227667,11-10-2018 05:30,3725.578233,70.94648146
-157.6170347,12-10-2018 05:30,3771.483965,69.30380011
-128.4537535,15-10-2018 05:30,3800.647247,70.60442998
-79.49475512,16-10-2018 05:30,3849.606245,68.93838902
-122.8836135,17-10-2018 05:30,3806.217386,67.35494098
-161.7422592,19-10-2018 05:30,3767.358741,71.03991991
-203.6951239,22-10-2018 05:30,3725.405876,70.1647687
-239.8421924,23-10-2018 05:30,3689.258808,73.30496809
-243.6515001,24-10-2018 05:30,3685.4495,73.20235265
-275.4089032,25-10-2018 05:30,3653.692097,76.08142494
-266.7000403,26-10-2018 05:30,3662.40096,75.59754724
-220.5075043,29-10-2018 05:30,3708.593496,75.69765987
-203.3449629,30-10-2018 05:30,3725.756037,76.83894381
-157.9422749,31-10-2018 05:30,3771.158725,76.61869603
-141.6319001,01-11-2018 05:30,3787.4691,74.90009594
-150.9927823,02-11-2018 05:30,3778.108218,76.57364535
-173.4937923,05-11-2018 05:30,3755.607208,76.47019564
-173.8461108,06-11-2018 05:30,3755.254889,77.14428732
-143.9411303,07-11-2018 05:30,3785.15987,78.2371835
-139.7979759,09-11-2018 05:30,3789.303024,79.59204105
-149.3557762,12-11-2018 05:30,3779.745224,77.80336212
-155.4704143,13-11-2018 05:30,3773.630586,76.86647478
-154.6504586,14-11-2018 05:30,3774.450541,75.64343219
-142.8079607,15-11-2018 05:30,3786.293039,77.34284403
-150.357481,16-11-2018 05:30,3778.743519,78.29391399
-132.6509103,19-11-2018 05:30,3796.45009,79.01555917
-161.0234241,20-11-2018 05:30,3768.077576,81.18216327
-175.7990629,21-11-2018 05:30,3753.301937,81.48333542
-184.1624248,22-11-2018 05:30,3744.938575,81.60013348
-198.4067963,26-11-2018 05:30,3730.694204,81.362366
-201.6842372,27-11-2018 05:30,3727.416763,79.91740708
-215.6687421,28-11-2018 05:30,3713.432258,76.88482877
-213.4399636,29-11-2018 05:30,3715.661036,78.42906603
-187.7807991,30-11-2018 05:30,3741.320201,75.00437993
-186.4404812,03-12-2018 05:30,3742.660519,76.017186
-195.8164703,04-12-2018 05:30,3733.28453,79.16155675
-216.9491625,05-12-2018 05:30,3712.151838,80.06173612
-240.7803464,06-12-2018 05:30,3688.320654,80.29366371
-242.5779862,07-12-2018 05:30,3686.523014,81.6768865
-280.4144463,10-12-2018 05:30,3648.686554,82.01643516
-241.5436837,11-12-2018 05:30,3687.557316,82.99420181
-208.0196609,12-12-2018 05:30,3721.081339,82.73390898
-203.1302473,13-12-2018 05:30,3725.970753,79.43519793
-200.4462509,14-12-2018 05:30,3728.654749,77.92516581
-198.4015642,17-12-2018 05:30,3730.699436,79.03224461
-182.0085361,18-12-2018 05:30,3747.092464,79.86568223
-171.3658276,19-12-2018 05:30,3757.735172,81.20218579
-185.5636729,20-12-2018 05:30,3743.537327,81.2464022
-217.8553741,21-12-2018 05:30,3711.245626,82.03979477
-246.850793,24-12-2018 05:30,3682.250207,80.07758729
-250.815975,26-12-2018 05:30,3678.285025,78.07116339
-249.0391536,27-12-2018 05:30,3680.061846,78.99053101
-236.5812844,28-12-2018 05:30,3692.519716,79.73219872
-222.6928771,31-12-2018 05:30,3706.408123,80.23860176
0,01-01-2019 05:30,3706.408,81.12292996
-13.24142327,02-01-2019 05:30,3693.166577,80.56313353
-25.92102349,03-01-2019 05:30,3680.486977,80.11846661
-32.61528473,04-01-2019 05:30,3673.792715,79.16155675
-30.24085055,07-01-2019 05:30,3676.167149,81.65102407
-28.29428361,08-01-2019 05:30,3678.113716,81.7094231
-21.91004248,09-01-2019 05:30,3684.497958,81.95803612
-15.59779273,10-01-2019 05:30,3690.810207,81.98723564
-16.61496321,11-01-2019 05:30,3689.793037,82.90326617
-27.33609604,14-01-2019 05:30,3679.071904,82.25086556
11.97989806,15-01-2019 05:30,3718.387898,80.72831936
4.738728904,16-01-2019 05:30,3711.146729,81.03366287
2.709370955,17-01-2019 05:30,3709.117371,79.8781963
-2.403953954,18-01-2019 05:30,3704.004046,77.89262921
-2.461197686,21-01-2019 05:30,3703.946802,77.73662036
